R_fighter;B_fighter;Fight_type;win_by;peso_forca_vitoria
Matt Brown;Jordan Mein;Welterweight Bout;KO/TKO;0.5
Tim Means;Jorge Masvidal;Lightweight Bout;Decision - Unanimous;1.0
TJ Dillashaw;Hugo Viana;Bantamweight Bout;KO/TKO;0.5
Anthony Njokuani;Roger Bowling;Lightweight Bout;KO/TKO;0.5
Clifford Starks;Yoel Romero;Middleweight Bout;KO/TKO;0.5
Robert McDaniel;Gilbert Smith;Middleweight Bout;Submission;0.5
Uriah Hall;Kelvin Gastelum;Ultimate Fighter 17 Middleweight Tournament Title Bout;Decision - Split;1.0
Luke Barnatt;Collin Hart;Middleweight Bout;Decision - Unanimous;1.0
Josh Samman;Kevin Casey;Middleweight Bout;KO/TKO;0.5
Urijah Faber;Scott Jorgensen;Bantamweight Bout;Submission;0.5
Travis Browne;Gabriel Gonzaga;Heavyweight Bout;KO/TKO;0.5
Miesha Tate;Cat Zingano;Women's Bantamweight Bout;KO/TKO;0.5
Dylan Andrews;Jimmy Quinlan;Middleweight Bout;KO/TKO;0.5
Justin Lawrence;Daniel Pineda;Featherweight Bout;Submission;0.5
Bristol Marunde;Clint Hester;Middleweight Bout;KO/TKO;0.5
Sam Sicilia;Maximo Blanco;Featherweight Bout;Decision - Unanimous;1.0
Cole Miller;Bart Palaszewski;Featherweight Bout;Submission;0.5
Ryan Couture;Ross Pearson;Lightweight Bout;KO/TKO;0.5
Reza Madadi;Michael Johnson;Lightweight Bout;Submission;0.5
Matt Mitrione;Philip De Fries;Heavyweight Bout;KO/TKO;0.5
Diego Brandao;Pablo Garza;Featherweight Bout;Submission;0.5
Gegard Mousasi;Ilir Latifi;Light Heavyweight Bout;Decision - Unanimous;1.0
Tor Troeng;Adam Cella;Middleweight Bout;Submission;0.5
Brad Pickett;Mike Easton;Bantamweight Bout;Decision - Split;1.0
Akira Corassani;Robert Peralta;Featherweight Bout;Decision - Unanimous;1.0
Chris Spang;Adlan Amagov;Welterweight Bout;Decision - Unanimous;1.0
Marcus Brimage;Conor McGregor;Featherweight Bout;KO/TKO;0.5
Ben Alloway;Ryan LaFlare;Welterweight Bout;Decision - Unanimous;1.0
Michael Kuiper;Tom Lawlor;Middleweight Bout;Submission;0.5
Papy Abedi;Besam Yousef;Welterweight Bout;Decision - Split;1.0
Jake Ellenberger;Nate Marquardt;Welterweight Bout;KO/TKO;0.5
Antonio Carvalho;Darren Elkins;Featherweight Bout;KO/TKO;0.5
Mike Ricci;Colin Fletcher;Lightweight Bout;Decision - Unanimous;1.0
Patrick Cote;Bobby Voelker;Welterweight Bout;Decision - Unanimous;1.0
Carlos Condit;Johny Hendricks;Welterweight Bout;Decision - Unanimous;1.0
Dan Miller;Jordan Mein;Welterweight Bout;KO/TKO;0.5
Georges St-Pierre;Nick Diaz;UFC Welterweight Title Bout;Decision - Unanimous;1.0
Nick Ring;Chris Camozzi;Middleweight Bout;Decision - Split;1.0
TJ Dillashaw;Issei Tamura;Bantamweight Bout;KO/TKO;0.5
Rick Story;Quinn Mulhern;Welterweight Bout;KO/TKO;0.5
John Makdessi;Daron Cruickshank;Lightweight Bout;Decision - Unanimous;1.0
George Roop;Reuben Duran;Bantamweight Bout;Decision - Unanimous;1.0
Takeya Mizugaki;Bryan Caraway;Bantamweight Bout;Decision - Split;1.0
Yushin Okami;Hector Lombard;Middleweight Bout;Decision - Split;1.0
Riki Fukuda;Brad Tavares;Middleweight Bout;Decision - Unanimous;1.0
Takanori Gomi;Diego Sanchez;Lightweight Bout;Decision - Split;1.0
Dong Hyun Kim;Siyar Bahadurzada;Welterweight Bout;Decision - Unanimous;1.0
Wanderlei Silva;Brian Stann;Light Heavyweight Bout;KO/TKO;0.5
Mizuto Hirota;Rani Yahya;Featherweight Bout;Decision - Unanimous;1.0
Stefan Struve;Mark Hunt;Heavyweight Bout;KO/TKO;0.5
Cristiano Marcello;Kazuki Tokudome;Lightweight Bout;Decision - Unanimous;1.0
Alex Caceres;Kyung Ho Kang;Bantamweight Bout;Overturned;2.0
Marcelo Guimaraes;Hyun Gyu Lim;Welterweight Bout;KO/TKO;0.5
Ronda Rousey;Liz Carmouche;UFC Women's Bantamweight Title Bout;Submission;0.5
Urijah Faber;Ivan Menjivar;Bantamweight Bout;Submission;0.5
Lyoto Machida;Dan Henderson;Light Heavyweight Bout;Decision - Split;1.0
Michael Chiesa;Anton Kuivanen;Lightweight Bout;Submission;0.5
Court McGee;Josh Neer;Welterweight Bout;Decision - Unanimous;1.0
Brendan Schaub;Lavar Johnson;Heavyweight Bout;Decision - Unanimous;1.0
Josh Koscheck;Robbie Lawler;Welterweight Bout;KO/TKO;0.5
Dennis Bermudez;Matt Grice;Featherweight Bout;Decision - Split;1.0
Sam Stout;Caros Fodor;Lightweight Bout;Decision - Split;1.0
Kenny Robertson;Brock Jardine;Welterweight Bout;Submission;0.5
Nah-Shon Burrell;Yuri Villefort;Welterweight Bout;Decision - Unanimous;1.0
Jon Manley;Neil Magny;Welterweight Bout;Decision - Unanimous;1.0
Cub Swanson;Dustin Poirier;Featherweight Bout;Decision - Unanimous;1.0
Renan Barao;Michael McDonald;UFC Interim Bantamweight Title Bout;Submission;0.5
Paul Sass;Danny Castillo;Lightweight Bout;Decision - Unanimous;1.0
Terry Etim;Renee Forte;Lightweight Bout;Decision - Unanimous;1.0
Jimi Manuwa;Cyrille Diabate;Light Heavyweight Bout;TKO - Doctor's Stoppage;0.5
James Te Huna;Ryan Jimmo;Light Heavyweight Bout;Decision - Unanimous;1.0
Gunnar Nelson;Jorge Santiago;Welterweight Bout;Decision - Unanimous;1.0
Che Mills;Matthew Riddle;Welterweight Bout;Overturned;2.0
Andy Ogle;Josh Grispi;Featherweight Bout;Decision - Unanimous;1.0
Vaughan Lee;Motonobu Tezuka;Bantamweight Bout;Decision - Unanimous;1.0
Tom Watson;Stanislav Nedkov;Middleweight Bout;KO/TKO;0.5
Phil Harris;Ulysses Gomez;Flyweight Bout;Decision - Unanimous;1.0
Tyron Woodley;Jay Hieron;Welterweight Bout;KO/TKO;0.5
Rashad Evans;Rogerio Nogueira;Light Heavyweight Bout;Decision - Unanimous;1.0
Jon Fitch;Demian Maia;Welterweight Bout;Decision - Unanimous;1.0
Joseph Benavidez;Ian McCall;Flyweight Bout;Decision - Unanimous;1.0
Jacob Volkmann;Bobby Green;Lightweight Bout;Submission;0.5
Alistair Overeem;Antonio Silva;Heavyweight Bout;KO/TKO;0.5
Gleison Tibau;Evan Dunham;Lightweight Bout;Decision - Split;1.0
Chico Camus;Dustin Kimura;Bantamweight Bout;Submission;0.5
Edwin Figueroa;Francisco Rivera;Bantamweight Bout;KO/TKO;0.5
Yves Edwards;Isaac Vallie-Flagg;Lightweight Bout;Decision - Split;1.0
Mike Stumpf;Pascal Krauss;Welterweight Bout;Decision - Unanimous;1.0
Clay Guida;Hatsu Hioki;Featherweight Bout;Decision - Split;1.0
Ryan Bader;Vladimir Matyushenko;Light Heavyweight Bout;Submission;0.5
TJ Grant;Matt Wiman;Lightweight Bout;KO/TKO;0.5
Quinton Jackson;Glover Teixeira;Light Heavyweight Bout;Decision - Unanimous;1.0
Erik Koch;Ricardo Lamas;Featherweight Bout;KO/TKO;0.5
Mike Russow;Shawn Jordan;Heavyweight Bout;KO/TKO;0.5
Rafael Natal;Sean Spencer;Middleweight Bout;Submission;0.5
Simeon Thoresen;David Mitchell;Welterweight Bout;Decision - Unanimous;1.0
Edson Barboza;Lucas Martins;Lightweight Bout;KO/TKO;0.5
Gabriel Gonzaga;Ben Rothwell;Heavyweight Bout;Submission;0.5
Godofredo Pepey;Milton Vieira;Featherweight Bout;Decision - Split;1.0
Vitor Belfort;Michael Bisping;Middleweight Bout;KO/TKO;0.5
Ronny Markes;Andrew Craig;Middleweight Bout;Decision - Unanimous;1.0
Daniel Sarafian;CB Dollaway;Middleweight Bout;Decision - Split;1.0
Diego Nunes;Nik Lentz;Featherweight Bout;Decision - Unanimous;1.0
Thiago Tavares;Khabib Nurmagomedov;Lightweight Bout;KO/TKO;0.5
Francisco Trinaldo;CJ Keith;Lightweight Bout;Submission;0.5
Wagner Prado;Ildemar Alcantara;Light Heavyweight Bout;Submission;0.5
Iuri Alcantara;Pedro Nobre;Bantamweight Bout;Could Not Continue;2.0
Melvin Guillard;Jamie Varner;Lightweight Bout;Decision - Split;1.0
Brad Pickett;Eddie Wineland;Bantamweight Bout;Decision - Split;1.0
Erik Perez;Byron Bloodworth;Bantamweight Bout;KO/TKO;0.5
Tim Boetsch;Constantinos Philippou;Middleweight Bout;KO/TKO;0.5
Chris Leben;Derek Brunson;Middleweight Bout;Decision - Unanimous;1.0
Yushin Okami;Alan Belcher;Middleweight Bout;Decision - Unanimous;1.0
Michael Johnson;Myles Jury;Lightweight Bout;Decision - Unanimous;1.0
Leonard Garcia;Max Holloway;Featherweight Bout;Decision - Split;1.0
Philip De Fries;Todd Duffee;Heavyweight Bout;KO/TKO;0.5
Chris Cariaso;John Moraga;Flyweight Bout;Submission;0.5
Roy Nelson;Matt Mitrione;Heavyweight Bout;KO/TKO;0.5
Colton Smith;Mike Ricci;Ultimate Fighter 16 Welterweight Tournament Title Bout;Decision - Unanimous;1.0
TJ Waldburger;Nick Catone;Welterweight Bout;Submission;0.5
Dustin Poirier;Jonathan Brookins;Featherweight Bout;Submission;0.5
Johnny Bedford;Marcos Vinicius;Bantamweight Bout;KO/TKO;0.5
Mike Pyle;James Head;Welterweight Bout;KO/TKO;0.5
Pat Barry;Shane del Rosario;Heavyweight Bout;KO/TKO;0.5
Reuben Duran;Hugo Viana;Bantamweight Bout;KO/TKO;0.5
Vinc Pichel;Rustam Khabilov;Lightweight Bout;KO/TKO;0.5
Jared Papazian;Tim Elliott;Flyweight Bout;Decision - Unanimous;1.0
Mike Rio;John Cofer;Lightweight Bout;Submission;0.5
Colin Fletcher;Norman Parke;Ultimate Fighter Australia vs. UK Lightweight Tournament Title Bout;Decision - Unanimous;1.0
Robert Whittaker;Brad Scott;Ultimate Fighter Australia vs. UK Welterweight Tournament Title Bout;Decision - Unanimous;1.0
Ben Alloway;Manuel Rodriguez;Welterweight Bout;KO/TKO;0.5
Mike Pierce;Seth Baczynski;Welterweight Bout;Decision - Unanimous;1.0
Hector Lombard;Rousimar Palhares;Middleweight Bout;KO/TKO;0.5
George Sotiropoulos;Ross Pearson;Lightweight Bout;KO/TKO;0.5
Igor Pokrajac;Joey Beltran;Light Heavyweight Bout;Overturned;2.0
Chad Mendes;Yaotzin Meza;Featherweight Bout;KO/TKO;0.5
Brendan Loughnane;Mike Wilkinson;Lightweight Bout;Decision - Unanimous;1.0
Nick Penner;Cody Donovan;Light Heavyweight Bout;KO/TKO;0.5
Raphael Assuncao;Mike Easton;Bantamweight Bout;Decision - Unanimous;1.0
Ramsey Nijem;Joe Proctor;Lightweight Bout;Decision - Unanimous;1.0
Daron Cruickshank;Henry Martinez;Lightweight Bout;KO/TKO;0.5
Mauricio Rua;Alexander Gustafsson;Light Heavyweight Bout;Decision - Unanimous;1.0
BJ Penn;Rory MacDonald;Welterweight Bout;Decision - Unanimous;1.0
Mike Swick;Matt Brown;Welterweight Bout;KO/TKO;0.5
Benson Henderson;Nate Diaz;UFC Lightweight Title Bout;Decision - Unanimous;1.0
Dennis Siver;Nam Phan;Featherweight Bout;Decision - Unanimous;1.0
Yves Edwards;Jeremy Stephens;Lightweight Bout;KO/TKO;0.5
Marcus LeVesseur;Abel Trujillo;Lightweight Bout;KO/TKO;0.5
Scott Jorgensen;John Albert;Bantamweight Bout;Submission;0.5
Sam Stout;John Makdessi;Lightweight Bout;Decision - Unanimous;1.0
Patrick Cote;Alessio Sakara;Middleweight Bout;DQ;2.0
Cyrille Diabate;Chad Griggs;Light Heavyweight Bout;Submission;0.5
Mark Hominick;Pablo Garza;Featherweight Bout;Decision - Unanimous;1.0
Johny Hendricks;Martin Kampmann;Welterweight Bout;KO/TKO;0.5
Francis Carmont;Tom Lawlor;Middleweight Bout;Decision - Split;1.0
Georges St-Pierre;Carlos Condit;UFC Welterweight Title Bout;Decision - Unanimous;1.0
Mark Bocek;Rafael Dos Anjos;Lightweight Bout;Decision - Unanimous;1.0
Ivan Menjivar;Azamat Gashimov;Bantamweight Bout;Submission;0.5
Antonio Carvalho;Rodrigo Damm;Featherweight Bout;Decision - Split;1.0
Matthew Riddle;John Maguire;Welterweight Bout;Decision - Unanimous;1.0
Steven Siler;Darren Elkins;Featherweight Bout;Decision - Unanimous;1.0
Yasuhiro Urushitani;John Lineker;Flyweight Bout;Decision - Unanimous;1.0
Takanori Gomi;Mac Danzig;Lightweight Bout;Decision - Split;1.0
Takeya Mizugaki;Jeff Hougland;Bantamweight Bout;Decision - Unanimous;1.0
Thiago Silva;Stanislav Nedkov;Light Heavyweight Bout;Overturned;2.0
Rich Franklin;Cung Le;Middleweight Bout;KO/TKO;0.5
Alex Caceres;Motonobu Tezuka;Bantamweight Bout;Decision - Split;1.0
Zhang Tiequan;Jon Tuck;Lightweight Bout;Decision - Unanimous;1.0
Dong Hyun Kim;Paulo Thiago;Welterweight Bout;Decision - Unanimous;1.0
Riki Fukuda;Tom DeBlass;Middleweight Bout;Decision - Unanimous;1.0
Demian Maia;Rick Story;Welterweight Bout;Submission;0.5
Gleison Tibau;Francisco Trinaldo;Lightweight Bout;Decision - Unanimous;1.0
Glover Teixeira;Fabio Maldonado;Light Heavyweight Bout;TKO - Doctor's Stoppage;0.5
Jon Fitch;Erick Silva;Welterweight Bout;Decision - Unanimous;1.0
Anderson Silva;Stephan Bonnar;Light Heavyweight Bout;KO/TKO;0.5
Phil Davis;Wagner Prado;Light Heavyweight Bout;Submission;0.5
Antonio Rodrigo Nogueira;Dave Herman;Heavyweight Bout;Submission;0.5
Rony Jason;Sam Sicilia;Featherweight Bout;KO/TKO;0.5
Cristiano Marcello;Reza Madadi;Lightweight Bout;Decision - Split;1.0
Sergio Moraes;Renee Forte;Welterweight Bout;Submission;0.5
Diego Brandao;Joey Gambino;Featherweight Bout;Decision - Unanimous;1.0
Luiz Cane;Chris Camozzi;Middleweight Bout;Decision - Unanimous;1.0
Travis Browne;Antonio Silva;Heavyweight Bout;KO/TKO;0.5
Josh Neer;Justin Edwards;Welterweight Bout;Submission;0.5
Marcus LeVesseur;Carlo Prater;Lightweight Bout;Decision - Split;1.0
Aaron Simpson;Mike Pierce;Welterweight Bout;KO/TKO;0.5
Jake Ellenberger;Jay Hieron;Welterweight Bout;Decision - Unanimous;1.0
Jacob Volkmann;Shane Roller;Lightweight Bout;Submission;0.5
Michael Johnson;Danny Castillo;Lightweight Bout;KO/TKO;0.5
John Dodson;Jussier Formiga;Flyweight Bout;KO/TKO;0.5
Bart Palaszewski;Diego Nunes;Featherweight Bout;Decision - Unanimous;1.0
Darren Uyenoyama;Phil Harris;Flyweight Bout;Submission;0.5
Stefan Struve;Stipe Miocic;Heavyweight Bout;KO/TKO;0.5
Andy Ogle;Akira Corassani;Featherweight Bout;Decision - Split;1.0
Kyle Kingsbury;Jimi Manuwa;Light Heavyweight Bout;TKO - Doctor's Stoppage;0.5
Brad Pickett;Yves Jabouin;Bantamweight Bout;KO/TKO;0.5
Paul Sass;Matt Wiman;Lightweight Bout;Submission;0.5
Che Mills;Duane Ludwig;Welterweight Bout;KO/TKO;0.5
Dan Hardy;Amir Sadollah;Welterweight Bout;Decision - Unanimous;1.0
John Hathaway;John Maguire;Welterweight Bout;Decision - Unanimous;1.0
Tom Watson;Brad Tavares;Middleweight Bout;Decision - Split;1.0
DaMarques Johnson;Gunnar Nelson;Catch Weight Bout;Submission;0.5
Jason Young;Robert Peralta;Featherweight Bout;KO/TKO;0.5
Igor Pokrajac;Vinny Magalhaes;Light Heavyweight Bout;Submission;0.5
Jon Jones;Vitor Belfort;UFC Light Heavyweight Title Bout;Submission;0.5
Sean Pierson;Lance Benoist;Welterweight Bout;Decision - Unanimous;1.0
Cub Swanson;Charles Oliveira;Featherweight Bout;KO/TKO;0.5
TJ Grant;Evan Dunham;Lightweight Bout;Decision - Unanimous;1.0
Michael Bisping;Brian Stann;Middleweight Bout;Decision - Unanimous;1.0
Matt Hamill;Roger Hollett;Light Heavyweight Bout;Decision - Unanimous;1.0
Jimy Hettes;Marcus Brimage;Featherweight Bout;Decision - Unanimous;1.0
Seth Baczynski;Simeon Thoresen;Welterweight Bout;KO/TKO;0.5
Mitch Gagnon;Walel Watson;Bantamweight Bout;Submission;0.5
Kyle Noke;Charlie Brenneman;Welterweight Bout;KO/TKO;0.5
Justin Lawrence;Max Holloway;Featherweight Bout;KO/TKO;0.5
Benson Henderson;Frankie Edgar;UFC Lightweight Title Bout;Decision - Split;1.0
Dennis Bermudez;Tommy Hayden;Featherweight Bout;Submission;0.5
Donald Cerrone;Melvin Guillard;Lightweight Bout;KO/TKO;0.5
Jake Shields;Ed Herman;Middleweight Bout;Overturned;2.0
Ken Stone;Erik Perez;Bantamweight Bout;KO/TKO;0.5
Yushin Okami;Buddy Roberts;Middleweight Bout;KO/TKO;0.5
Jared Hamman;Michael Kuiper;Middleweight Bout;KO/TKO;0.5
Nik Lentz;Eiji Mitsuoka;Featherweight Bout;KO/TKO;0.5
Dustin Pague;Chico Camus;Bantamweight Bout;Decision - Unanimous;1.0
Josh Grispi;Rani Yahya;Featherweight Bout;Submission;0.5
Philip De Fries;Oli Thompson;Heavyweight Bout;Submission;0.5
Joe Lauzon;Jamie Varner;Lightweight Bout;Submission;0.5
Lyoto Machida;Ryan Bader;Light Heavyweight Bout;KO/TKO;0.5
Cole Miller;Nam Phan;Featherweight Bout;Decision - Split;1.0
Mike Swick;DaMarques Johnson;Welterweight Bout;KO/TKO;0.5
Mauricio Rua;Brandon Vera;Light Heavyweight Bout;KO/TKO;0.5
John Moraga;Ulysses Gomez;Flyweight Bout;KO/TKO;0.5
Manvel Gamburyan;Michihiro Omigawa;Featherweight Bout;Decision - Unanimous;1.0
Anthony Perosh;Ryan Jimmo;Light Heavyweight Bout;KO/TKO;0.5
Roland Delorme;Francisco Rivera;Bantamweight Bout;Overturned;2.0
Brian Ebersole;James Head;Welterweight Bout;Decision - Split;1.0
Chris Clements;Matthew Riddle;Welterweight Bout;Overturned;2.0
Court McGee;Nick Ring;Middleweight Bout;Decision - Unanimous;1.0
Hector Lombard;Tim Boetsch;Middleweight Bout;Decision - Split;1.0
Cheick Kongo;Shawn Jordan;Heavyweight Bout;Decision - Unanimous;1.0
Antonio Carvalho;Daniel Pineda;Featherweight Bout;KO/TKO;0.5
Bryan Caraway;Mitch Gagnon;Bantamweight Bout;Submission;0.5
Mitch Clarke;Anton Kuivanen;Lightweight Bout;Decision - Split;1.0
Damacio Page;Alex Caceres;Bantamweight Bout;Submission;0.5
Aaron Simpson;Kenny Robertson;Welterweight Bout;Decision - Unanimous;1.0
Chris Cariaso;Josh Ferguson;Flyweight Bout;Decision - Unanimous;1.0
TJ Dillashaw;Vaughan Lee;Bantamweight Bout;Submission;0.5
James Te Huna;Joey Beltran;Light Heavyweight Bout;Decision - Unanimous;1.0
Mark Munoz;Chris Weidman;Middleweight Bout;KO/TKO;0.5
Rafael Dos Anjos;Anthony Njokuani;Lightweight Bout;Decision - Unanimous;1.0
Karlos Vemola;Francis Carmont;Middleweight Bout;Submission;0.5
Rafael Natal;Andrew Craig;Middleweight Bout;KO/TKO;0.5
Marcelo Guimaraes;Dan Stittgen;Welterweight Bout;Decision - Split;1.0
Raphael Assuncao;Issei Tamura;Bantamweight Bout;KO/TKO;0.5
Chad Mendes;Cody McKenzie;Featherweight Bout;KO/TKO;0.5
Dong Hyun Kim;Demian Maia;Welterweight Bout;KO/TKO;0.5
Anderson Silva;Chael Sonnen;UFC Middleweight Title Bout;KO/TKO;0.5
Melvin Guillard;Fabricio Camoes;Lightweight Bout;Decision - Unanimous;1.0
Gleison Tibau;Khabib Nurmagomedov;Lightweight Bout;Decision - Unanimous;1.0
Ivan Menjivar;Mike Easton;Bantamweight Bout;Decision - Unanimous;1.0
Cung Le;Patrick Cote;Middleweight Bout;Decision - Unanimous;1.0
Forrest Griffin;Tito Ortiz;Light Heavyweight Bout;Decision - Unanimous;1.0
Constantinos Philippou;Riki Fukuda;Middleweight Bout;Decision - Unanimous;1.0
John Alessio;Shane Roller;Lightweight Bout;Decision - Unanimous;1.0
Rafaello Oliveira;Yoislandy Izquierdo;Lightweight Bout;Decision - Unanimous;1.0
Cezar Ferreira;Sergio Moraes;Ultimate Fighter Brazil 1 Middleweight Tournament Title Bout;Decision - Unanimous;1.0
Godofredo Pepey;Rony Jason;Ultimate Fighter Brazil 1 Featherweight Tournament Title Bout;Decision - Unanimous;1.0
Wanderlei Silva;Rich Franklin;Catch Weight Bout;Decision - Unanimous;1.0
Fabricio Werdum;Mike Russow;Heavyweight Bout;KO/TKO;0.5
John Teixeira;Hugo Viana;Featherweight Bout;Decision - Split;1.0
Delson Heleno;Francisco Trinaldo;Middleweight Bout;KO/TKO;0.5
Iuri Alcantara;Hacran Dias;Featherweight Bout;Decision - Unanimous;1.0
Anistavio Medeiros;Rodrigo Damm;Featherweight Bout;Submission;0.5
Marcos Vinicius;Wagner Campos;Featherweight Bout;KO/TKO;0.5
Thiago Perpetuo;Leonardo Mafra;Middleweight Bout;KO/TKO;0.5
Felipe Arantes;Milton Vieira;Featherweight Bout;Decision - Split;1.0
Ross Pearson;Cub Swanson;Featherweight Bout;KO/TKO;0.5
Brian Ebersole;TJ Waldburger;Welterweight Bout;Decision - Unanimous;1.0
Hatsu Hioki;Ricardo Lamas;Featherweight Bout;Decision - Unanimous;1.0
Steven Siler;Joey Gambino;Featherweight Bout;Submission;0.5
Gray Maynard;Clay Guida;Lightweight Bout;Decision - Split;1.0
Rick Story;Brock Jardine;Welterweight Bout;Decision - Unanimous;1.0
Sam Stout;Spencer Fisher;Lightweight Bout;Decision - Unanimous;1.0
Ramsey Nijem;CJ Keith;Lightweight Bout;KO/TKO;0.5
Ken Stone;Dustin Pague;Bantamweight Bout;Decision - Split;1.0
Matt Brown;Luis Ramos;Welterweight Bout;KO/TKO;0.5
Nick Catone;Chris Camozzi;Middleweight Bout;TKO - Doctor's Stoppage;0.5
Dan Miller;Ricardo Funch;Welterweight Bout;Submission;0.5
Erick Silva;Charlie Brenneman;Welterweight Bout;Submission;0.5
Mike Pyle;Josh Neer;Welterweight Bout;KO/TKO;0.5
Seth Baczynski;Lance Benoist;Welterweight Bout;Decision - Split;1.0
Eddie Wineland;Scott Jorgensen;Bantamweight Bout;KO/TKO;0.5
Dustin Pague;Jared Papazian;Bantamweight Bout;Submission;0.5
Demetrious Johnson;Ian McCall;Flyweight Bout;Decision - Unanimous;1.0
Leonard Garcia;Matt Grice;Featherweight Bout;Decision - Unanimous;1.0
Mike Pierce;Carlos Eduardo Rocha;Welterweight Bout;Decision - Unanimous;1.0
Buddy Roberts;Caio Magalhaes;Middleweight Bout;Decision - Unanimous;1.0
Henry Martinez;Bernardo Magalhaes;Lightweight Bout;Decision - Split;1.0
Jake Hecht;Sean Pierson;Welterweight Bout;Decision - Unanimous;1.0
Tim Means;Justin Salas;Lightweight Bout;KO/TKO;0.5
Jonathan Brookins;Charles Oliveira;Featherweight Bout;Submission;0.5
Cristiano Marcello;Sam Sicilia;Lightweight Bout;KO/TKO;0.5
Jake Ellenberger;Martin Kampmann;Welterweight Bout;KO/TKO;0.5
Max Holloway;Pat Schilling;Featherweight Bout;Decision - Unanimous;1.0
Justin Lawrence;John Cofer;Lightweight Bout;KO/TKO;0.5
Michael Chiesa;Al Iaquinta;Ultimate Fighter 15 Lightweight Tournament Title Bout;Submission;0.5
Daron Cruickshank;Chris Tickle;Lightweight Bout;Decision - Unanimous;1.0
Myles Jury;Chris Saunders;Lightweight Bout;Submission;0.5
John Albert;Erik Perez;Bantamweight Bout;Submission;0.5
Joe Proctor;Jeremy Larsen;Lightweight Bout;KO/TKO;0.5
Stipe Miocic;Shane del Rosario;Heavyweight Bout;KO/TKO;0.5
Edson Barboza;Jamie Varner;Lightweight Bout;KO/TKO;0.5
Jason Miller;CB Dollaway;Middleweight Bout;Decision - Unanimous;1.0
Stefan Struve;Lavar Johnson;Heavyweight Bout;Submission;0.5
Junior Dos Santos;Frank Mir;UFC Heavyweight Title Bout;KO/TKO;0.5
Dan Hardy;Duane Ludwig;Welterweight Bout;KO/TKO;0.5
Roy Nelson;Dave Herman;Heavyweight Bout;KO/TKO;0.5
Diego Brandao;Darren Elkins;Featherweight Bout;Decision - Unanimous;1.0
Kyle Kingsbury;Glover Teixeira;Light Heavyweight Bout;Submission;0.5
Jacob Volkmann;Paul Sass;Lightweight Bout;Submission;0.5
Mike Brown;Daniel Pineda;Featherweight Bout;Decision - Unanimous;1.0
Cody McKenzie;Marcus LeVesseur;Lightweight Bout;Submission;0.5
Donald Cerrone;Jeremy Stephens;Lightweight Bout;Decision - Unanimous;1.0
Yves Jabouin;Jeff Hougland;Bantamweight Bout;Decision - Unanimous;1.0
Amir Sadollah;Jorge Lopez;Welterweight Bout;Decision - Split;1.0
Jason MacDonald;Tom Lawlor;Middleweight Bout;KO/TKO;0.5
Igor Pokrajac;Fabio Maldonado;Light Heavyweight Bout;Decision - Unanimous;1.0
Brad Tavares;Dongi Yang;Middleweight Bout;Decision - Unanimous;1.0
Chan Sung Jung;Dustin Poirier;Featherweight Bout;Submission;0.5
TJ Grant;Carlo Prater;Lightweight Bout;Decision - Unanimous;1.0
Rafael Dos Anjos;Kamal Shalorus;Lightweight Bout;Submission;0.5
Jeff Curran;Johnny Eduardo;Bantamweight Bout;Decision - Unanimous;1.0
Alex Soto;Francisco Rivera;Bantamweight Bout;Decision - Unanimous;1.0
